task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,20,0.147,0.011197812286335219,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,20,0.071,0.008121514637061242,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,20,0.045,0.0065555320150236475,0.05
Hopper-v5,SAC,DDPG,t-test,0.05,30,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,DDPG,Welch t-test,0.05,30,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,DDPG,Mann-Whitney,0.05,30,0.19,0.012405643876881199,0.05
Hopper-v5,SAC,DDPG,Ranked t-test,0.05,30,0.153,0.011383804285035824,0.05
Hopper-v5,SAC,DDPG,bootstrap,0.05,30,0.057,0.007331507348424334,0.05
Hopper-v5,SAC,DDPG,permutation,0.05,30,0.043,0.006414904519944158,0.05
Hopper-v5,SAC,DDPG,t-test,0.01,2,0.022,0.0046385342512479085,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,2,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,2,0.395,0.015458816254810716,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,2,0.38,0.015349267083479915,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,3,0.024,0.004839834707921336,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,3,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,3,0.193,0.012480024038438387,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,3,0.163,0.011680368144883106,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,5,0.025,0.0049371044145328745,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,5,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,5,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,5,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,5,0.075,0.008329165624478841,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,5,0.029,0.005306505441436953,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,10,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,10,0.006,0.002442130217658346,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,10,0.018,0.004204283529925164,0.01
