task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,0.999,0.0009994998749374613
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,0.998,0.0014127986409959495
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Hopper-v5,SAC,TD3,t-test,0.01,0.5,2,0.049,0.006826346021115542
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.022,0.0046385342512479085
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.001,0.0009994998749374609
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.704,0.014435511767859151
Hopper-v5,SAC,TD3,permutation,0.01,0.5,2,0.692,0.014599178059055244
Hopper-v5,SAC,TD3,t-test,0.01,0.5,3,0.071,0.008121514637061242
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.045,0.0065555320150236475
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.551,0.015728922404284407
Hopper-v5,SAC,TD3,permutation,0.01,0.5,3,0.481,0.01579996835439869
Hopper-v5,SAC,TD3,t-test,0.01,0.5,5,0.109,0.00985489725973843
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.068,0.007960904471226871
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.01,0.003146426544510455
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.044,0.006485676526007136
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.413,0.0155701958882989
Hopper-v5,SAC,TD3,permutation,0.01,0.5,5,0.311,0.014638271755914358
Hopper-v5,SAC,TD3,t-test,0.01,0.5,10,0.145,0.01113440613593738
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.131,0.010669536072388528
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.062,0.007626008130076967
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.092,0.00913980306133562
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.276,0.014135911714495106
Hopper-v5,SAC,TD3,permutation,0.01,0.5,10,0.232,0.013348258313353095
Hopper-v5,SAC,TD3,t-test,0.01,0.5,20,0.195,0.012528966437819204
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.224,0.013184233007649706
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.184,0.012253326079069307
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.17,0.011878552100319299
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.265,0.013956181426163821
Hopper-v5,SAC,TD3,permutation,0.01,0.5,20,0.237,0.013447341744746431
Hopper-v5,SAC,TD3,t-test,0.01,0.5,30,0.318,0.014726710426975875
Hopper-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.299,0.014477534320456644
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.319,0.014739029818817792
Hopper-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.303,0.014532412050310162
Hopper-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.29,0.01434921600645833
Hopper-v5,SAC,TD3,permutation,0.01,0.5,30,0.311,0.014638271755914358
Hopper-v5,SAC,TD3,t-test,0.01,1.0,2,0.122,0.010349685985574635
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.053,0.00708456067798138
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.001,0.0009994998749374609
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.719,0.014214042352547005
Hopper-v5,SAC,TD3,permutation,0.01,1.0,2,0.715,0.014274978108564651
Hopper-v5,SAC,TD3,t-test,0.01,1.0,3,0.25,0.013693063937629153
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.191,0.012430567163247218
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.62,0.015349267083479915
Hopper-v5,SAC,TD3,permutation,0.01,1.0,3,0.581,0.015602531845825537
Hopper-v5,SAC,TD3,t-test,0.01,1.0,5,0.288,0.014319776534569246
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.158,0.011534123287012324
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.043,0.006414904519944158
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.134,0.010772372069326236
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.5,0.015811388300841896
Hopper-v5,SAC,TD3,permutation,0.01,1.0,5,0.419,0.015602531845825536
Hopper-v5,SAC,TD3,t-test,0.01,1.0,10,0.433,0.015668790636165893
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.422,0.01561781034588396
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.227,0.013246546719805883
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.287,0.01430492922037715
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.49,0.0158082257068907
Hopper-v5,SAC,TD3,permutation,0.01,1.0,10,0.436,0.015681326474504636
Hopper-v5,SAC,TD3,t-test,0.01,1.0,20,0.653,0.01505293991218991
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.655,0.015032464867745409
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.581,0.015602531845825537
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.598,0.015504708962118573
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.686,0.01467664811869522
Hopper-v5,SAC,TD3,permutation,0.01,1.0,20,0.67,0.014869431730903503
Hopper-v5,SAC,TD3,t-test,0.01,1.0,30,0.853,0.011197812286335219
Hopper-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.848,0.011353237423748348
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.818,0.01220147532063234
Hopper-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.818,0.01220147532063234
Hopper-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.868,0.010704017937204702
Hopper-v5,SAC,TD3,permutation,0.01,1.0,30,0.84,0.011593101396951551
Hopper-v5,SAC,TD3,t-test,0.01,2.0,2,0.34,0.014979986648859203
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.134,0.010772372069326236
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.817,0.012227469075814505
Hopper-v5,SAC,TD3,permutation,0.01,2.0,2,0.798,0.01269629867323544
Hopper-v5,SAC,TD3,t-test,0.01,2.0,3,0.385,0.015387494922826133
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.251,0.013711272734505722
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.722,0.01416742743055351
Hopper-v5,SAC,TD3,permutation,0.01,2.0,3,0.63,0.015267612779999367
Hopper-v5,SAC,TD3,t-test,0.01,2.0,5,0.619,0.015357050498061143
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.529,0.01578477114183161
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.24,0.013505554412907307
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.346,0.015042739112276061
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.727,0.014087973594523805
Hopper-v5,SAC,TD3,permutation,0.01,2.0,5,0.522,0.015796075461962062
Hopper-v5,SAC,TD3,t-test,0.01,2.0,10,0.877,0.010386096475577337
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.854,0.011166198995181844
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.472,0.015786576576319513
Hopper-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.579,0.015612783224012303
Hopper-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.9,0.009486832980505136
Hopper-v5,SAC,TD3,permutation,0.01,2.0,10,0.836,0.011709141727727102
Hopper-v5,SAC,TD3,t-test,0.01,2.0,20,0.999,0.0009994998749374613
Hopper-v5,SAC,TD3,Welch t-test,0.01,2.0,20,0.999,0.0009994998749374613
Hopper-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.904,0.009315793041926167
