task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,50,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,100,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,2,0.045,0.0065555320150236475
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.018,0.004204283529925164
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.452,0.015738360778683402
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,2,0.466,0.01577479001445027
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,3,0.041,0.006270486424512854
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.016,0.003967870965643918
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.001,0.0009994998749374609
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.269,0.014022802858202064
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,3,0.237,0.013447341744746431
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,5,0.042,0.0063431853196954605
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.021,0.004534203347888138
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.069,0.008014923580421713
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.095,0.00927227048785787
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.167,0.01179453263168999
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,5,0.08,0.008579044235810887
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,10,0.072,0.008174105455644672
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.062,0.007626008130076967
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.053,0.00708456067798138
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.105,0.009694070352540258
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.125,0.010458250331675944
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,10,0.096,0.009315793041926168
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,20,0.154,0.011414201680362931
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.119,0.010239091756596383
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.181,0.0121753439376471
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.21,0.01288021738946979
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.194,0.012504559168559283
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,20,0.148,0.011229247525992114
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,30,0.236,0.013427732496590778
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.194,0.012504559168559283
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.28,0.014198591479439079
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.302,0.014518815378673288
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.295,0.01442133835675455
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,30,0.244,0.013581752464244074
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,50,0.451,0.01573527883451704
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,50,0.432,0.01566448211719749
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,50,0.461,0.015763216676808068
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,50,0.514,0.015805189021330938
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,50,0.518,0.01580113919943749
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,50,0.469,0.01578096955196353
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,100,0.824,0.012042591083317579
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,100,0.803,0.012577400367325513
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,100,0.795,0.012766166221697099
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,100,0.814,0.012304633273690038
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,100,0.862,0.01090669519148674
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,100,0.844,0.011474493452871897
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,2,0.053,0.00708456067798138
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.02,0.004427188724235731
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.594,0.015529455882290275
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,2,0.594,0.015529455882290275
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,3,0.1,0.009486832980505138
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.036,0.005891010100144117
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.001,0.0009994998749374609
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.424,0.01562766777225572
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,3,0.38,0.015349267083479915
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,5,0.148,0.011229247525992114
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.071,0.008121514637061242
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.189,0.012380589646701001
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.204,0.01274299807737567
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.375,0.015309310892394862
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,5,0.216,0.013013224043256921
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,10,0.3,0.014491376746189439
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.209,0.012857643641040918
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.274,0.014104041973845655
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.352,0.015102847413650183
Humanoid-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.481,0.01579996835439869
Humanoid-v5,SAC,TD3,permutation,0.01,1.0,10,0.319,0.014739029818817792
Humanoid-v5,SAC,TD3,t-test,0.01,1.0,20,0.663,0.014947608504372864
Humanoid-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.599,0.015498354751392161
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.647,0.015112610628213776
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.661,0.014969268519202933
