task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,2,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,2,0.406,0.015529455882290275,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,2,0.362,0.015197236590906913,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,3,0.024,0.004839834707921336,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,3,0.02,0.004427188724235731,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,3,0.0,0.0,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,3,0.176,0.012042591083317577,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,3,0.145,0.01113440613593738,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,5,0.021,0.004534203347888138,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,5,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,5,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,5,0.031,0.0054807846153630225,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,5,0.084,0.008771772910877254,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,5,0.041,0.006270486424512854,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,10,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,10,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,10,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,10,0.028,0.005216895628628198,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,10,0.04,0.0061967733539318665,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,10,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,20,0.005,0.0022304708023195463,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,20,0.049,0.006826346021115542,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,20,0.043,0.006414904519944158,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,20,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,20,0.004,0.001995995991979944,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,30,0.014,0.003715373467095872,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,30,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,30,0.058,0.007391616873188166,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,30,0.081,0.008627803892068943,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,30,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,30,0.019,0.004317290817167636,0.01
Hopper-v5,SAC,PPO,t-test,0.05,2,0.089,0.00900438781928011,0.05
