task,algo1,algo2,test,alpha,target_n,fpr,se,expected_fpr
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,5,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,5,0.022,0.0046385342512479085,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,5,0.07,0.008068457101577725,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,5,0.023,0.004740358636221525,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,10,0.02,0.004427188724235731,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,10,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,10,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,10,0.021,0.004534203347888138,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,10,0.032,0.005565608681896348,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,10,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,20,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,20,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,20,0.044,0.006485676526007136,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,20,0.05,0.006892024376045111,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,20,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,20,0.009,0.002986469487538756,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,30,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,30,0.011,0.003298332912245215,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,30,0.074,0.00827792244467173,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,30,0.072,0.008174105455644672,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,30,0.017,0.004087909000944126,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,30,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,50,0.018,0.004204283529925164,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,50,0.015,0.003843826218756514,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,50,0.143,0.011070275515993266,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,50,0.129,0.010599952830083727,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,50,0.012,0.003443254274665175,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,50,0.008,0.0028170906978654416,0.01
Hopper-v5,SAC,DDPG,t-test,0.01,100,0.013,0.003582038525755969,0.01
Hopper-v5,SAC,DDPG,Welch t-test,0.01,100,0.01,0.003146426544510455,0.01
Hopper-v5,SAC,DDPG,Mann-Whitney,0.01,100,0.299,0.014477534320456644,0.01
Hopper-v5,SAC,DDPG,Ranked t-test,0.01,100,0.293,0.014392741226048637,0.01
Hopper-v5,SAC,DDPG,bootstrap,0.01,100,0.016,0.003967870965643918,0.01
Hopper-v5,SAC,DDPG,permutation,0.01,100,0.007,0.0026364749192814255,0.01
Hopper-v5,SAC,PPO,t-test,0.05,2,0.092,0.00913980306133562,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,2,0.061,0.0075682891065286355,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,2,0.0,0.0,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,2,0.377,0.01532550162311172,0.05
Hopper-v5,SAC,PPO,permutation,0.05,2,0.371,0.015276092432294327,0.05
Hopper-v5,SAC,PPO,t-test,0.05,3,0.076,0.008379976133617566,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,3,0.052,0.007021111023192838,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,3,0.0,0.0,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,3,0.142,0.011037934589405754,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,3,0.191,0.012430567163247218,0.05
Hopper-v5,SAC,PPO,permutation,0.05,3,0.156,0.011474493452871897,0.05
Hopper-v5,SAC,PPO,t-test,0.05,5,0.059,0.007451107300260815,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,5,0.037,0.005969170796685248,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,5,0.056,0.007270763371201128,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,5,0.074,0.00827792244467173,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,5,0.134,0.010772372069326236,0.05
Hopper-v5,SAC,PPO,permutation,0.05,5,0.069,0.008014923580421713,0.05
Hopper-v5,SAC,PPO,t-test,0.05,10,0.046,0.006624499981130651,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,10,0.047,0.006692607862410586,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,10,0.096,0.009315793041926168,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,10,0.121,0.010313049985334114,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,10,0.093,0.009184280047995052,0.05
Hopper-v5,SAC,PPO,permutation,0.05,10,0.054,0.007147307185227175,0.05
Hopper-v5,SAC,PPO,t-test,0.05,20,0.044,0.006485676526007136,0.05
Hopper-v5,SAC,PPO,Welch t-test,0.05,20,0.044,0.006485676526007136,0.05
Hopper-v5,SAC,PPO,Mann-Whitney,0.05,20,0.142,0.011037934589405754,0.05
Hopper-v5,SAC,PPO,Ranked t-test,0.05,20,0.15,0.011291589790636216,0.05
Hopper-v5,SAC,PPO,bootstrap,0.05,20,0.07,0.008068457101577725,0.05
